,continent,year,gdpPercap,lifeExp,population
318,Africa,2005,1089.828323,56.13396032,923346587
319,Oceania,2005,18029.7313,73.84716851,6973716
320,North America,2005,29967.18754,76.25208534,515505815
321,South America,2005,4452.276052,72.59031503,373121758
322,Australia,2005,26156.6017,76.72572393,26709509
323,Asia,2006,3261.500798,70.0398855,3959201526
324,Europe,2006,23591.05409,75.39770368,739463007
325,Africa,2006,1232.988743,56.77814443,946715880
326,Oceania,2006,17410.38215,73.92691972,7054940
327,North America,2006,31634.92276,76.45383903,521263770
328,South America,2006,5355.074522,72.87702412,377634489
329,Australia,2006,27822.22411,76.91934337,27168172
330,Asia,2007,3694.952776,70.33081372,4004693990
331,Europe,2007,27438.60214,75.76292734,740837951
332,Africa,2007,1404.016312,57.45018215,970801227
333,Oceania,2007,20944.16274,74.13962256,7124973
334,North America,2007,32958.13596,76.71149872,527182446
335,South America,2007,6554.453854,73.15745821,382058180
336,Australia,2007,31443.93664,77.11957757,27455522
337,Asia,2008,4202.793938,70.61299223,4050192067
338,Europe,2008,29959.15009,76.00726206,742416863
339,Africa,2008,1623.524493,58.12740512,995660355
340,Oceania,2008,20288.93491,74.39827706,7193914
341,North America,2008,33367.94558,76.81057917,533232255
342,South America,2008,7893.759687,73.43304097,386415405
343,Australia,2008,38057.88186,77.24381992,28036387
344,Asia,2009,4246.006372,70.89999822,4095418773
345,Europe,2009,26326.43378,76.39970431,743778646
346,Africa,2009,1506.658937,58.79280912,1021354063
347,Oceania,2009,18347.22978,74.74838652,7269233
348,North America,2009,31719.96981,77.09199243,539139498
349,South America,2009,7652.735114,73.70513011,390736783
350,Australia,2009,32779.88178,77.39837939,28639147
351,Asia,2010,4912.28156,71.1521575,4140440031
352,Europe,2010,26698.94509,76.70794252,744772271
353,Africa,2010,1853.709951,59.42966914,1047923466
354,Oceania,2010,21661.17199,74.88435677,7352121
355,North America,2010,33170.39256,77.24142495,544912262
356,South America,2010,9707.637873,73.97172545,395043171
357,Australia,2010,39709.26341,77.53333135,29139989
358,Asia,2011,5629.489146,71.3949718,4185267366
359,Europe,2011,29568.73846,77.27000159,744310697
360,Africa,2011,1995.367035,60.02806446,1075386773
361,Oceania,2011,24568.86748,75.08503278,7419390
362,North America,2011,34455.04295,77.39251868,550322066
363,South America,2011,11032.07014,74.23139264,399342644
364,Australia,2011,47570.81139,77.69591723,29609372
365,Asia,2012,5924.539389,71.64532802,4229769584
366,Europe,2012,28281.7317,77.39795676,745566278
367,Africa,2012,2038.588404,60.57796378,1099157902
368,Oceania,2012,25524.38295,75.32874945,7479022
369,North America,2012,35397.89609,77.50752454,555792628
370,South America,2012,10952.21952,74.48071222,403625823
371,Australia,2012,51684.42758,77.83279292,30173311
372,Asia,2013,5941.93676,71.87760618,4274185013
373,Europe,2013,29402.84802,77.71960603,747313532
374,Africa,2013,2087.226378,61.10060549,1128161054
375,Oceania,2013,27245.54334,75.55631555,7548391
376,North America,2013,36220.62481,77.58159395,561100159
377,South America,2013,10974.09726,74.71841096,407874261
378,Australia,2013,51675.46168,77.93306929,30738766
379,Asia,2014,6095.38625,72.09837139,4318656118
380,Europe,2014,29738.40882,78.04374827,749025652.5
381,Africa,2014,2126.108661,61.58207253,1157776014
382,Oceania,2014,28285.86302,75.6488145,7653514
383,North America,2014,37188.20905,77.73147842,566494971
384,South America,2014,11008.24367,74.94536801,412060811
385,Australia,2014,47428.18727,78.06482482,31259923
386,Asia,2015,5946.797345,72.30124903,4362773985
387,Europe,2015,25486.40781,77.93344008,750770650
388,Africa,2015,1896.622858,62.02146451,1187892125
389,Oceania,2015,24619.10648,75.78390009,7776495
390,North America,2015,37424.78008,77.70438583,571748634
391,South America,2015,8007.614378,75.16220378,416164522
392,Australia,2015,43009.69003,78.15822603,31770609
393,Asia,2016,6111.975964,72.49109762,4406866194
394,Europe,2016,25366.52577,78.05076829,752674439
395,Africa,2016,1761.024944,62.42058016,1218468451
396,Oceania,2016,25488.23448,75.97684512,7912801
397,North America,2016,37598.88048,77.80662827,577002935
398,South America,2016,7811.913944,75.37142481,420179421
399,Australia,2016,37925.35419,78.25520323,32295800
400,Asia,2017,NA,NA,0
401,Europe,2017,NA,NA,0
402,Africa,2017,NA,NA,0
403,Oceania,2017,NA,NA,0
404,North America,2017,NA,NA,0
405,South America,2017,NA,NA,0
406,Australia,2017,NA,NA,0
